Borough,Date,Rent,Year
Staten Island,2015-01,1200.0,2015
Bronx,2015-02,1396.0,2015
Brooklyn,2015-02,2069.62,2015
Manhattan,2015-02,3116.0,2015
New York City,2015-02,2750.0,2015
Queens,2015-02,1769.55,2015
Staten Island,2015-02,1200.0,2015
Bronx,2015-03,1404.25,2015
Brooklyn,2015-03,2068.17,2015
Manhattan,2015-03,3135.5,2015
New York City,2015-03,2750.0,2015
Queens,2015-03,1737.67,2015
Staten Island,2015-03,1250.0,2015
Bronx,2015-04,1424.73,2015
Brooklyn,2015-04,2086.5,2015
Manhattan,2015-04,3170.03,2015
New York City,2015-04,2783.0,2015
Queens,2015-04,1731.87,2015
Staten Island,2015-04,1295.0,2015
Bronx,2015-05,1372.75,2015
Brooklyn,2015-05,2080.4,2015
Manhattan,2015-05,3185.56,2015
New York City,2015-05,2750.0,2015
Queens,2015-05,1761.73,2015
Staten Island,2015-05,1250.0,2015
Bronx,2015-06,1374.15,2015
Brooklyn,2015-06,2094.26,2015
Manhattan,2015-06,3222.34,2015
New York City,2015-06,2795.0,2015
Queens,2015-06,1748.0,2015
Staten Island,2015-06,1370.0,2015
Bronx,2015-07,1336.8,2015
Brooklyn,2015-07,2107.9,2015
Manhattan,2015-07,3201.89,2015
New York City,2015-07,2795.0,2015
Queens,2015-07,1768.27,2015
Staten Island,2015-07,1500.0,2015
Bronx,2015-08,1354.08,2015
Brooklyn,2015-08,2119.45,2015
Manhattan,2015-08,3250.28,2015
New York City,2015-08,2800.0,2015
Queens,2015-08,1790.43,2015
Staten Island,2015-08,1935.0,2015
Bronx,2015-09,1373.33,2015
Brooklyn,2015-09,2135.21,2015
Manhattan,2015-09,3235.67,2015
New York City,2015-09,2795.0,2015
Queens,2015-09,1796.75,2015
Staten Island,2015-09,1685.0,2015
Bronx,2015-10,1357.75,2015
Brooklyn,2015-10,2105.3,2015
Manhattan,2015-10,3214.53,2015
New York City,2015-10,2750.0,2015
Queens,2015-10,1743.0,2015
Staten Island,2015-10,1395.0,2015
Bronx,2015-11,1392.78,2015
Brooklyn,2015-11,2116.0,2015
Manhattan,2015-11,3156.03,2015
New York City,2015-11,2700.0,2015
Queens,2015-11,1721.81,2015
Staten Island,2015-11,1405.0,2015
Bronx,2015-12,1399.0,2015
Brooklyn,2015-12,2126.85,2015
Manhattan,2015-12,3173.11,2015
New York City,2015-12,2750.0,2015
Queens,2015-12,1784.48,2015
Staten Island,2015-12,1395.0,2015
Bronx,2016-01,1435.0,2016
Brooklyn,2016-01,2127.68,2016
Manhattan,2016-01,3160.08,2016
New York City,2016-01,2800.0,2016
Queens,2016-01,1778.85,2016
Staten Island,2016-01,,2016
Bronx,2016-02,1437.56,2016
Brooklyn,2016-02,2125.02,2016
Manhattan,2016-02,3201.33,2016
New York City,2016-02,2800.0,2016
Queens,2016-02,1831.33,2016
Staten Island,2016-02,1500.0,2016
Bronx,2016-03,1411.75,2016
Brooklyn,2016-03,2124.62,2016
Manhattan,2016-03,3247.89,2016
New York City,2016-03,2805.0,2016
Queens,2016-03,1792.43,2016
Staten Island,2016-03,1695.0,2016
Bronx,2016-04,1431.92,2016
Brooklyn,2016-04,2136.12,2016
Manhattan,2016-04,3254.64,2016
New York City,2016-04,2825.0,2016
Queens,2016-04,1859.32,2016
Staten Island,2016-04,2140.0,2016
Bronx,2016-05,1440.25,2016
Brooklyn,2016-05,2145.93,2016
Manhattan,2016-05,3235.06,2016
New York City,2016-05,2850.0,2016
Queens,2016-05,1870.1,2016
Staten Island,2016-05,2300.0,2016
Bronx,2016-06,1492.73,2016
Brooklyn,2016-06,2175.69,2016
Manhattan,2016-06,3234.44,2016
